Actionspiel;91ad1a77081ba782a5065f393f2c37bf
Rollenspiel;8befc3cab42472c4720af42585895080
Action-Adventure;c8f257cd83b8dfc50581833db6f20a20
Sportspiel;3bcd69f5bfce7d1bc204c4220dce6282
Strategiespiel;46c313982a37304083521fa37d050f63
Actionspiel^Shooter;91ad1a77081ba782a5065f393f2c37bf
Denk-, Logik- & Knobelspiel;489e68fa5be13b8d689a836e7a46a0ec
Adventure;a393d35271e1e49765fc1c60dbc55a3e
Geschicklichkeitsspiel;489e68fa5be13b8d689a836e7a46a0ec
Geschicklichkeitesspiel;489e68fa5be13b8d689a836e7a46a0ec
Technik- & Transport-Simulation;81d1b58893224939985a8d9768f12a72
Brettspiel;489e68fa5be13b8d689a836e7a46a0ec
Partyspiel;489e68fa5be13b8d689a836e7a46a0ec
Kartenspiel;489e68fa5be13b8d689a836e7a46a0ec
3-Gewinnt;489e68fa5be13b8d689a836e7a46a0ec
Puzzlespiel;489e68fa5be13b8d689a836e7a46a0ec
Quizspiel;489e68fa5be13b8d689a836e7a46a0ec
Tierspiel;489e68fa5be13b8d689a836e7a46a0ec
Wimmelbildspiel;489e68fa5be13b8d689a836e7a46a0ec
Zeit-Management;489e68fa5be13b8d689a836e7a46a0ec
Zeit-Mangement;489e68fa5be13b8d689a836e7a46a0ec
Wirtschaftssimulation;81d1b58893224939985a8d9768f12a72
Rennspiel;254b8386ff61ce97c2e76402df0da5d6
Lebenssimulation;81d1b58893224939985a8d9768f12a72
Berufs- & Techniksimulation;81d1b58893224939985a8d9768f12a72
Fahrzeugsimulation;81d1b58893224939985a8d9768f12a72
Bauernhofsimulation;81d1b58893224939985a8d9768f12a72
Schiffssimulation;81d1b58893224939985a8d9768f12a72
Städtebausimulation;81d1b58893224939985a8d9768f12a72
Flugsimulation;81d1b58893224939985a8d9768f12a72
Lebens- & Familiensimuation;81d1b58893224939985a8d9768f12a72
Strategiespiel^historisch / militärisch;81d1b58893224939985a8d9768f12a72
Zugsimulation;81d1b58893224939985a8d9768f12a72
Strategiespiel - militärisch / historisch;46c313982a37304083521fa37d050f63
Strategiespiel - Science-Fiction;46c313982a37304083521fa37d050f63
Action-Rollenspiel;8befc3cab42472c4720af42585895080
Actionspiel^Shooter;91ad1a77081ba782a5065f393f2c37bf
Shooter;91ad1a77081ba782a5065f393f2c37bf
